Trace, IPC,Total Access,Total Hits,Total Misses,Total MPKI,Load Access,Load Hit,Load Miss,Load MPKI,Data Load MPKI,Prefetch Requested,Prefetch Issued,Prefetch Useful,Prefetch Useless,Useful Load Prefetches,Timely Prefetches,Late Prefetches,Dropped Prefetches,Average Miss Latency,Accuracy
trace1.champsimtrace.xz,0.545239,3241921,2226799,1015122,40.6049,250207,90325,159882,6.39528,6.39528,217925,217925,90317,0,90317,90317,6396,0,531.261,74.8605
trace2.champsimtrace.xz,0.477382,3800110,2605523,1194587,47.7835,295551,97574,197977,7.91908,7.91908,235122,235122,97571,0,97571,97571,8429,0,557.1,70.7241
trace3.champsimtrace.xz,0.854738,1821466,1268989,552477,22.0991,135439,61216,74223,2.96892,2.96892,162725,162725,61216,0,61216,61216,97,0,399.499,98.5876
trace4.champsimtrace.xz,0.479076,3784908,2593228,1191680,47.6672,294450,97448,197002,7.88008,7.88008,233797,233797,97420,0,97420,97420,8542,0,554.525,70.5349
